step	position_z	abs(a)	abs(b)
229	22.9000000000	0.2293213901	0.7706786099
230	23.0000000000	0.2279834559	0.7720165441
231	23.1000000000	0.2266179810	0.7733820190
232	23.2000000000	0.2252253433	0.7747746567
233	23.3000000000	0.2238059282	0.7761940718
234	23.4000000000	0.2223601286	0.7776398714
235	23.5000000000	0.2208883446	0.7791116554
236	23.6000000000	0.2193909835	0.7806090165
237	23.7000000000	0.2178684598	0.7821315402
238	23.8000000000	0.2163211948	0.7836788052
239	23.9000000000	0.2147496167	0.7852503833
240	24.0000000000	0.2131541605	0.7868458395
241	24.1000000000	0.2115352677	0.7884647323
242	24.2000000000	0.2098933863	0.7901066137
243	24.3000000000	0.2082289709	0.7917710291
244	24.4000000000	0.2065424819	0.7934575181
245	24.5000000000	0.2048343862	0.7951656138
246	24.6000000000	0.2031051565	0.7968948435
247	24.7000000000	0.2013552714	0.7986447286
248	24.8000000000	0.1995852151	0.8004147849
249	24.9000000000	0.1977954775	0.8022045225
250	25.0000000000	0.1959865540	0.8040134460
251	25.1000000000	0.1941589452	0.8058410548
252	25.2000000000	0.1923131569	0.8076868431
253	25.3000000000	0.1904497000	0.8095503000
254	25.4000000000	0.1885690900	0.8114309100
255	25.5000000000	0.1866718477	0.8133281523
256	25.6000000000	0.1847584979	0.8152415021
257	25.7000000000	0.1828295702	0.8171704298
258	25.8000000000	0.1808855986	0.8191144014
259	25.9000000000	0.1789271209	0.8210728791
260	26.0000000000	0.1769546793	0.8230453207
261	26.1000000000	0.1749688195	0.8250311805
262	26.2000000000	0.1729700913	0.8270299087
263	26.3000000000	0.1709590478	0.8290409522
264	26.4000000000	0.1689362454	0.8310637546
265	26.5000000000	0.1669022442	0.8330977558
266	26.6000000000	0.1648576069	0.8351423931
267	26.7000000000	0.1628028995	0.8371971005
268	26.8000000000	0.1607386907	0.8392613093
269	26.9000000000	0.1586655516	0.8413344484
270	27.0000000000	0.1565840561	0.8434159439
271	27.1000000000	0.1544947802	0.8455052198
272	27.2000000000	0.1523983022	0.8476016978
273	27.3000000000	0.1502952022	0.8497047978
274	27.4000000000	0.1481860624	0.8518139376
275	27.5000000000	0.1460714664	0.8539285336
276	27.6000000000	0.1439519994	0.8560480006
277	27.7000000000	0.1418282481	0.8581717519
278	27.8000000000	0.1397008002	0.8602991998
279	27.9000000000	0.1375702446	0.8624297554
280	28.0000000000	0.1354371707	0.8645628293
281	28.1000000000	0.1333021691	0.8666978309
282	28.2000000000	0.1311658305	0.8688341695
283	28.3000000000	0.1290287462	0.8709712538
284	28.4000000000	0.1268915077	0.8731084923
285	28.5000000000	0.1247547065	0.8752452935
286	28.6000000000	0.1226189339	0.8773810661
287	28.7000000000	0.1204847811	0.8795152189
288	28.8000000000	0.1183528386	0.8816471614
289	28.9000000000	0.1162236965	0.8837763035
290	29.0000000000	0.1140979441	0.8859020559
291	29.1000000000	0.1119761697	0.8880238303
292	29.2000000000	0.1098589605	0.8901410395
293	29.3000000000	0.1077469024	0.8922530976
294	29.4000000000	0.1056405800	0.8943594200
295	29.5000000000	0.1035405762	0.8964594238
296	29.6000000000	0.1014474723	0.8985525277
297	29.7000000000	0.0993618474	0.9006381526
298	29.8000000000	0.0972842789	0.9027157211
299	29.9000000000	0.0952153416	0.9047846584
300	30.0000000000	0.0931556082	0.9068443918
301	30.1000000000	0.0911056488	0.9088943512
302	30.2000000000	0.0890660306	0.9109339694
303	30.3000000000	0.0870373182	0.9129626818
304	30.4000000000	0.0850200730	0.9149799270
305	30.5000000000	0.0830148532	0.9169851468
306	30.6000000000	0.0810222140	0.9189777860
307	30.7000000000	0.0790427067	0.9209572933
308	30.8000000000	0.0770768792	0.9229231208
309	30.9000000000	0.0751252755	0.9248747245
310	31.0000000000	0.0731884358	0.9268115642
311	31.1000000000	0.0712668960	0.9287331040
312	31.2000000000	0.0693611881	0.9306388119
313	31.3000000000	0.0674718394	0.9325281606
314	31.4000000000	0.0655993728	0.9344006272
315	31.5000000000	0.0637443065	0.9362556935
316	31.6000000000	0.0619071540	0.9380928460
317	31.7000000000	0.0600884236	0.9399115764
318	31.8000000000	0.0582886188	0.9417113812
319	31.9000000000	0.0565082376	0.9434917624
320	32.0000000000	0.0547477727	0.9452522273
321	32.1000000000	0.0530077115	0.9469922885
322	32.2000000000	0.0512885354	0.9487114646
323	32.3000000000	0.0495907203	0.9504092797
324	32.4000000000	0.0479147360	0.9520852640
325	32.5000000000	0.0462610464	0.9537389536
326	32.6000000000	0.0446301091	0.9553698909
327	32.7000000000	0.0430223756	0.9569776244
328	32.8000000000	0.0414382908	0.9585617092
329	32.9000000000	0.0398782930	0.9601217070
330	33.0000000000	0.0383428141	0.9616571859
331	33.1000000000	0.0368322790	0.9631677210
332	33.2000000000	0.0353471057	0.9646528943
333	33.3000000000	0.0338877053	0.9661122947
334	33.4000000000	0.0324544816	0.9675455184
335	33.5000000000	0.0310478314	0.9689521686
336	33.6000000000	0.0296681439	0.9703318561
337	33.7000000000	0.0283158010	0.9716841990
338	33.8000000000	0.0269911769	0.9730088231
339	33.9000000000	0.0256946382	0.9743053618
340	34.0000000000	0.0244265438	0.9755734562
341	34.1000000000	0.0231872446	0.9768127554
342	34.2000000000	0.0219770837	0.9780229163
343	34.3000000000	0.0207963958	0.9792036042
344	34.4000000000	0.0196455078	0.9803544922
345	34.5000000000	0.0185247383	0.9814752617
346	34.6000000000	0.0174343973	0.9825656027
347	34.7000000000	0.0163747867	0.9836252133
348	34.8000000000	0.0153461997	0.9846538003
349	34.9000000000	0.0143489210	0.9856510790
350	35.0000000000	0.0133832265	0.9866167735
351	35.1000000000	0.0124493836	0.9875506164
352	35.2000000000	0.0115476506	0.9884523494
353	35.3000000000	0.0106782772	0.9893217228
354	35.4000000000	0.0098415040	0.9901584960
355	35.5000000000	0.0090375625	0.9909624375
356	35.6000000000	0.0082666752	0.9917333248
357	35.7000000000	0.0075290556	0.9924709444
358	35.8000000000	0.0068249076	0.9931750924
359	35.9000000000	0.0061544263	0.9938455737
360	36.0000000000	0.0055177971	0.9944822029
361	36.1000000000	0.0049151963	0.9950848037
362	36.2000000000	0.0043467906	0.9956532094
363	36.3000000000	0.0038127373	0.9961872627
364	36.4000000000	0.0033131843	0.9966868157
365	36.5000000000	0.0028482698	0.9971517302
366	36.6000000000	0.0024181225	0.9975818775
367	36.7000000000	0.0020228613	0.9979771387
368	36.8000000000	0.0016625958	0.9983374042
369	36.9000000000	0.0013374256	0.9986625744
370	37.0000000000	0.0010474407	0.9989525593
371	37.1000000000	0.0007927214	0.9992072786
372	37.2000000000	0.0005733381	0.9994266619
373	37.3000000000	0.0003893516	0.9996106484
374	37.4000000000	0.0002408128	0.9997591872
375	37.5000000000	0.0001277628	0.9998722372
376	37.6000000000	0.0000502328	0.9999497672
